PAIS,FECHA,ADQUIRIENTE,RUBRO,VENTAS_ADQ_SIM,VENTAS_RAPPI_SIM,CONC_SIM_VEN,FEE_ADQ_SIM,FEE_RAPPI_SIM,CONC_SIM_FEE,TAX_ADQ_SIM,TAX_RAPPI_SIM,CONC_SIM_TAX,TRX_ADQ_SIM,TRX_RAPPI_SIM,FALTANTES_SIM
Colombia,2021-12-02,Wompi,Ventas,198897625.0,198897625.00,1.0,2373331.8,2373331.8,1.0,0.0,450933.04199999996,0.0,5719,5719,0
Colombia,2021-12-03,Wompi,Ventas,221608020.0,221608020.00,1.0,2595218.04,2595218.04,1.0,0.0,493091.4276,0.0,6112,6112,0
Colombia,2021-12-04,Wompi,Ventas,233176657.0,233176657.00,1.0,2729262.495,2729262.495,1.0,0.0,518559.87405000004,0.0,6273,6273,0
Colombia,2021-12-05,Wompi,Ventas,223195471.0,223195471.00,1.0,2654115.84,2654115.84,1.0,0.0,504282.0096,0.0,6144,6144,0
Colombia,2021-12-06,Wompi,Ventas,159804789.0,159804789.00,1.0,1967830.155,1967830.155,1.0,0.0,373887.72945,0.0,4918,4918,0
Colombia,2021-12-07,Wompi,Ventas,82607539.0,82607539.00,1.0,917727.0599999999,917727.0599999999,1.0,0.0,174368.1414,0.0,2088,2088,0
Colombia,2021-12-08,Wompi,Ventas,234419853.0,234419853.00,1.0,2790365.31,2790365.31,1.0,0.0,530169.4089,0.0,6425,6425,0
Colombia,2021-12-09,Wompi,Ventas,153857972.0,153857972.00,1.0,1873278.8699999999,1873278.8699999999,1.0,0.0,355922.9853,0.0,4580,4580,0
Colombia,2021-12-10,Wompi,Ventas,188512875.0,188512875.00,1.0,2268927.315,2268927.315,1.0,0.0,431096.18984999997,0.0,5354,5354,0
Colombia,2021-12-11,Wompi,Ventas,213094273.0,213094273.00,1.0,2549722.515,2549722.515,1.0,0.0,484447.27785,0.0,5864,5864,0
Colombia,2021-12-12,Wompi,Ventas,213976368.0,213976368.00,1.0,2558175.0,2558175.0,1.0,0.0,486053.25,0.0,5879,5879,0
Colombia,2021-12-13,Wompi,Ventas,144471535.0,144471535.00,1.0,1766636.88,1766636.88,1.0,0.0,335661.0072,0.0,4312,4312,0
Colombia,2021-12-14,Wompi,Ventas,238590349.0,238590349.00,1.0,3113450.1149999998,3113450.1149999998,1.0,0.0,591555.5218499999,0.0,8090,8090,0
